,dataset_name,model_name,num_epochs,mmd_degree_dev,mmd_clustering_dev,mmd_4orbits_dev,mmd_spectral_dev,mmd_degree_test,mmd_clustering_test,mmd_4orbits_test,mmd_spectral_test
0,community2,GRANMixtureBernoulli,5,0.015922609473193017,0.20262340781169277,0.13960508096525437,0.07179858157915642,0.017347716093578658,0.2762994514792251,0.17127550463066943,0.07314797296532527
1,community4,GRANMixtureBernoulli,5,0.009924849539805658,0.03672603721642644,0.47448252871716207,0.020330451155252893,0.008987613308767406,0.03391721460548358,0.4378288177356223,0.01920433420918055
2,community8,GRANMixtureBernoulli,5,0.019023965765306405,0.021496639332257234,0.5293841764317534,0.004584630293866354,0.019816839301496803,0.020867282506336744,0.4909516918924661,0.0052715772657006
3,watts,GRANMixtureBernoulli,5,0.12047830408297311,0.027811833203755798,0.0017623919844045322,0.17390389144952478,0.12208840443015712,0.031380521497677005,0.0017684023367829926,0.20387817166193467
4,barabasi,GRANMixtureBernoulli,15,0.05341552005660022,0.07033144342627773,0.09673317111637196,0.010381670390610553,0.050535376034272605,0.207837371274801,0.08002444945447329,0.009156740765246196
5,barabasi,GRANMixtureBernoulli,50,0.02901351762875648,0.039131721157469074,0.10259724504289025,0.013394352440144308,0.03045058961004754,0.2050288139400708,0.07112791269570343,0.012537646194279883
6,community2,RNN,1000,0.042362416360669064,0.23451630852193592,0.3248894179676284,0.10738721239462135,0.04378286809716081,0.30829882205958403,0.32636601028533385,0.11008053121717598
7,community4,RNN,1000,0.018448894688468886,0.06730433219605174,0.6084830453708331,0.028228445333142504,0.018187487799064872,0.06451055543608696,0.592444282796718,0.02817127818771592
8,community8,RNN,1000,0.06233757042436894,0.0570577280257371,0.6888834552540756,0.059539912869909895,0.05976634020883731,0.05586506950817399,0.6393324499851545,0.05982592261864195
9,watts,RNN,1000,-1.2331475525151347e-06,2.8440209290270246e-05,-3.300221673718795e-08,0.011817966082471099,6.082382569383427e-06,3.951658452527873e-05,1.3193199888128504e-07,0.030096836505526303
10,barabasi,RNN,1000,0.15233507212838004,0.38303165530456934,0.28215637613156325,0.050916647276450844,0.14908341646577794,0.514725409709997,0.2436747166596197,0.01944129855626575
11,barabasi,RNN_MLP,1000,0.15602043924221798,0.3044700890515052,0.27917778011104083,0.046583065453728256,0.15973735247980803,0.44442190195607684,0.25265235372870576,0.019797103137513483
12,barabasi,RNN_MLP,1000,0.13902779867151782,0.31089494239462573,0.2641577954285188,0.053124095803823046,0.14021950266661642,0.4695849494826224,0.23382145364811555,0.020829047175996207
13,watts,RNN_MLP,1000,0.00011589451388838157,8.01621664685559e-05,2.282785005025545e-06,0.013796367605281468,0.00032771543689191773,2.6886881729915046e-06,4.281852997944924e-06,0.0239794602905421
14,community2,RNN_MLP,1000,0.042169079025016654,0.23459783508166943,0.5271265767161321,0.12524402618373798,0.04378304283739043,0.3083770211350934,0.49949073888256634,0.1309451673893094
15,community4,RNN_MLP,1000,0.050438155830321296,0.0672625528892081,0.5766526477299987,0.04147685288329095,0.050584319627126284,0.06446105993749023,0.5603697504192972,0.03979799229732839
16,community8,RNN_MLP,1000,0.10419615609917932,0.05964945859560948,0.7049691666167113,0.06751595220071649,0.1005996451131177,0.05845679979511362,0.6554175639144791,0.06721351211875382
17,watts_ring,RNN_MLP,1000,0.006050653587058585,0.0,7.223900741148981e-05,0.09982836794522743,0.006050653587058585,0.0,7.223900741148981e-05,0.037246980931644025
18,watts_ring,RNN,1000,0.01661884447665285,0.0005408195470364419,3.153355573548566e-05,0.11923464778563031,0.01661884447665285,0.0005408195470364419,3.153355573548566e-05,0.0614990770934436
19,watts_ring,GRANMixtureBernoulli,50,0.0020399015444538815,0.0,2.295258724438476e-05,0.09064041679873314,0.0020399015444538815,0.0,2.295258724438476e-05,0.03395330710045141
